"filename", "language", "SCSS", "TypeScript", "HTML", "comment", "blank", "total"
"d:\JS\light-store\src\app\modules\customers\components\modal-please-signup\modal-please-signup.component.html", "HTML", 0, 0, 10, 0, 1, 11
"d:\JS\light-store\src\app\modules\customers\components\modal-please-signup\modal-please-signup.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"d:\JS\light-store\src\app\modules\customers\components\modal-please-signup\modal-please-signup.component.ts", "TypeScript", 0, 20, 0, 0, 6, 26
"d:\JS\light-store\src\app\modules\customers\components\order-item\order-item.component.html", "HTML", 0, 0, 16, 0, 0, 16
"d:\JS\light-store\src\app\modules\customers\components\order-item\order-item.component.scss", "SCSS", 8, 0, 0, 0, 2, 10
"d:\JS\light-store\src\app\modules\customers\components\order-item\order-item.component.ts", "TypeScript", 0, 5, 0, 0, 1, 6
"d:\JS\light-store\src\app\modules\customers\customers.module.ts", "TypeScript", 0, 2, 0, 0, 0, 2
"d:\JS\light-store\src\app\modules\customers\models\order-item.ts", "TypeScript", 0, 4, 0, 0, 1, 5
"d:\JS\light-store\src\app\modules\customers\pages\cart-page\cart-page.component.html", "HTML", 0, 0, 1, 0, 0, 1
"d:\JS\light-store\src\app\modules\customers\pages\cart-page\cart-page.component.ts", "TypeScript", 0, 11, 0, 0, 1, 12
"d:\JS\light-store\src\app\modules\customers\pages\order-creating-page\order-creating-page.component.html", "HTML", 0, 0, 2, 0, 0, 2
"d:\JS\light-store\src\app\modules\customers\pages\order-creating-page\order-creating-page.component.scss", "SCSS", 1, 0, 0, 0, 0, 1
"d:\JS\light-store\src\app\modules\customers\pages\order-creating-page\order-creating-page.component.ts", "TypeScript", 0, 63, 0, 0, 9, 72
"d:\JS\light-store\src\app\modules\shared\models\product-in-warehouse-minified.ts", "TypeScript", 0, 5, 0, 0, 2, 7
"d:\JS\light-store\src\app\modules\shared\models\product-remains-minified.ts", "TypeScript", 0, 5, 0, 0, 2, 7
"d:\JS\light-store\src\app\modules\shared\services\product-in-warehouse.service.ts", "TypeScript", 0, 7, 0, 0, 1, 8
"d:\JS\light-store\src\styles.scss", "SCSS", 1, 0, 0, 0, 0, 1
"Total", "-", 10, 122, 29, 0, 27, 188
